,tcc,ltng,gh,u10,v10,t2m,d2m,r2,mdens,hcc,lcc,mcc,t,sp,vis,prate,sde,tp,crain,cfrzr,cicep,csnow,cpofp,snowc,gust,vbdsf,vddsf,gppbfas
2021-12-31 19:00:00,81.0,0.0,798.5615,0.74071026,3.7198954,298.3049,294.54865,80.0,2.4e-11,0.0,81.0,0.0,298.6548,99060.0,18500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,9.439973,310.0,188.1,10.0
2021-12-31 20:00:00,4.0,0.0,,0.06494713,5.1985083,300.31995,293.49902,66.2,1.6e-11,0.0,4.0,0.0,300.52142,98900.0,27100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,8.595409,840.0,98.6,10.0
2021-12-31 21:00:00,0.0,0.0,,-0.7171421,4.615349,301.48914,292.29065,57.5,1.073734e-25,0.0,0.0,0.0,301.649,98780.0,33300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,8.704385,784.0,88.0,10.0
2021-12-31 22:00:00,0.0,0.0,,-0.566741,4.0259533,301.36115,292.08496,57.1,1.6e-11,0.0,0.0,0.0,301.46564,98720.0,33400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,8.6429,673.0,70.1,10.0
2021-12-31 23:00:00,4.0,0.0,,-1.7305374,2.4491024,300.0598,293.78275,65.3,1.6e-11,0.0,4.0,0.0,299.70886,98690.0,27500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,8.751717,352.2,43.9,10.0
2022-01-01,0.0,0.0,,-2.8920221,2.9726505,297.7695,293.2182,70.0,2.08e-11,0.0,0.0,0.0,297.0022,98680.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,7.8254848,0.0,0.0,10.0
2022-01-01 01:00:00,14.0,0.0,,-3.5765448,3.5183792,296.75726,294.58136,83.0,9.320461e-26,0.0,14.0,0.0,296.36914,98740.0,16800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,12.190496,0.0,0.0,10.0
2022-01-01 02:00:00,94.0,0.0,445.18335,-2.6173239,2.7974014,296.4016,294.81445,86.7,8e-13,0.0,94.0,0.0,295.98697,98820.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,10.362662,0.0,0.0,10.0
2022-01-01 03:00:00,99.0,0.0,444.49426,-2.3602495,3.2899017,296.27716,295.21246,91.6,4e-12,0.0,99.0,0.0,296.10864,98800.0,13400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,10.638317,0.0,0.0,10.0
2022-01-01 04:00:00,100.0,0.0,320.0454,-1.6440945,4.37109,296.0441,295.04413,91.3,8e-12,0.0,100.0,0.0,295.87518,98810.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,13.515753,0.0,0.0,10.0
